status,card_id,answer,matched_candidate,source_url,r2_key,public_url,error
updated,631c213d-353b-462e-b0f4-6a3524c0f1ea,Croatia,,,cards/631c213d-353b-462e-b0f4-6a3524c0f1ea/global_1776019456754.png,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/631c213d-353b-462e-b0f4-6a3524c0f1ea/global_1776019456754.png,
updated,9248d323-27f4-4e68-83d3-786da9cce0ee,Cuba,,,cards/9248d323-27f4-4e68-83d3-786da9cce0ee/global_1776019456754.png,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/9248d323-27f4-4e68-83d3-786da9cce0ee/global_1776019456754.png,
updated,74bfadd3-7f7c-4b4a-ab77-e9dc7615a8a6,Cyprus,,,cards/74bfadd3-7f7c-4b4a-ab77-e9dc7615a8a6/global_1776019456754.png,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/74bfadd3-7f7c-4b4a-ab77-e9dc7615a8a6/global_1776019456754.png,
updated,e262983b-a3b4-4c13-9620-e1166aa237c8,Czech Republic,,,cards/e262983b-a3b4-4c13-9620-e1166aa237c8/global_1776019456754.png,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/e262983b-a3b4-4c13-9620-e1166aa237c8/global_1776019456754.png,
updated,bc474d70-92b2-4433-b213-e21c6d8d4af0,Democratic Republic of the Congo,,,cards/bc474d70-92b2-4433-b213-e21c6d8d4af0/global_1776019456754.png,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/bc474d70-92b2-4433-b213-e21c6d8d4af0/global_1776019456754.png,
updated,38327042-2cdc-48be-af30-89b05acd83ab,Denmark,,,cards/38327042-2cdc-48be-af30-89b05acd83ab/global_1776019456754.png,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/38327042-2cdc-48be-af30-89b05acd83ab/global_1776019456754.png,
updated,d5b828c1-7495-4c1b-8a79-5b2a54fc2470,Djibouti,,,cards/d5b828c1-7495-4c1b-8a79-5b2a54fc2470/global_1776019456754.png,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/d5b828c1-7495-4c1b-8a79-5b2a54fc2470/global_1776019456754.png,
updated,a0650fb3-29e4-4e71-abe9-1f20ab3a67cc,Dominica,,,cards/a0650fb3-29e4-4e71-abe9-1f20ab3a67cc/global_1776019456754.png,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/a0650fb3-29e4-4e71-abe9-1f20ab3a67cc/global_1776019456754.png,
updated,8541262a-bbda-49d2-b5b8-13c625c2b46b,Dominican Republic,,,cards/8541262a-bbda-49d2-b5b8-13c625c2b46b/global_1776019456754.png,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/8541262a-bbda-49d2-b5b8-13c625c2b46b/global_1776019456754.png,
updated,9dc96736-9cec-46e4-9ca7-d8f09b8975e2,Ecuador,,,cards/9dc96736-9cec-46e4-9ca7-d8f09b8975e2/global_1776019456754.png,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/9dc96736-9cec-46e4-9ca7-d8f09b8975e2/global_1776019456754.png,
